internal,end-to-end
0.155,0.205
0.147,0.211
0.159,0.223
0.16,0.245
0.164,0.252
0.151,0.244
0.178,0.29
0.142,0.249
0.152,0.261
0.157,22.394
0.158,21.548
0.168,20.711
0.155,19.866
0.154,19.054
0.15,18.198
0.153,17.338
0.156,16.488
0.163,15.684
0.154,14.849
0.161,14.034
0.172,13.201
0.16,12.362
0.169,11.55
0.157,10.774
0.161,9.928
0.169,9.179
0.177,8.372
0.152,7.513
0.145,6.656
0.159,5.801
0.156,5.005
0.152,4.186
0.155,3.362
0.15,2.51
0.166,1.671
0.169,0.851
0.143,0.247
0.167,0.29
0.151,0.259
0.155,0.223
0.155,0.219
0.153,0.223
0.164,0.232
0.181,0.254
0.15,0.214
0.169,0.252
0.162,0.251
0.161,0.247
0.172,0.277
0.161,0.267
