internal,end-to-end,source_directory
0.244,0.303,results2
2.488,2.663,results2
11.953,16.535,results2
0.929,13.082,results2
0.172,10.13,results2
2.159,6.028,results2
1.112,3.279,results2
0.875,2.837,results2
0.159,1.456,results2
0.165,22.599,results2
0.867,22.406,results2
2.879,27.098,results2
0.897,26.998,results2
3.93,32.371,results2
7.163,40.551,results2
0.399,39.964,results2
2.012,41.074,results2
2.887,43.503,results2
2.208,46.521,results2
0.176,45.777,results2
4.213,70.983,results2
0.452,91.349,results2
0.339,97.603,results2
0.921,97.476,results2
0.611,97.047,results2
0.67,96.707,results2
0.78,96.853,results2
0.334,96.486,results2
0.527,95.992,results2
1.782,96.969,results2
0.89,180.116,results2
10.46,229.723,results2
4.889,233.123,results2
14.368,245.417,results2
4.387,264.697,results2
0.214,272.165,results2
0.178,270.095,results2
1.796,1.865,results3
4.269,6.356,results3
12.264,20.453,results3
9.567,24.217,results3
0.181,11.894,results3
1.296,6.594,results3
0.807,3.57,results3
1.474,3.09,results3
3.692,7.013,results3
0.276,27.094,results3
1.133,22.746,results3
2.014,24.207,results3
0.885,24.125,results3
0.358,23.693,results3
8.344,31.491,results3
5.639,36.756,results3
4.805,40.499,results3
7.62,175.147,results3
8.326,242.187,results3
1.829,243.161,results3
3.552,246.938,results3
5.623,252.582,results3
5.095,258.384,results3
1.449,273.721,results3
0.839,280.95,results3
1.407,281.374,results3
0.661,281.033,results3
0.454,280.491,results3
0.526,280.004,results3
0.261,279.283,results3
0.901,279.22,results3
2.803,280.704,results3
1.273,331.88,results3
3074457345.722,349.588,results3
2.272,360.298,results3
0.75,361.401,results3
1.307,360.828,results3
3.907,363.114,results3
0.943,372.672,results3
1.873,372.464,results3
1.755,375.864,results3
0.585,368.406,results3
1.077,365.247,results3
0.739,364.564,results3
0.279,363.8,results3
0.853,361.449,results3
4.579,363.567,results3
6.852,362.956,results3
0.462,0.503,results
1.052,1.181,results
0.426,2.014,results
2.962,3.385,results
2.629,9.131,results
0.163,6.298,results
0.252,1.581,results
0.98,1.391,results
2.716,3.78,results
2.005,140.192,results
0.204,144.668,results
5.371,149.088,results
0.65,148.768,results
3.201,151.102,results
4.84,156.008,results
0.406,177.59,results
1.176,178.045,results
1.428,178.438,results
0.468,177.916,results
0.192,177.078,results
1.35,177.412,results
0.478,176.918,results
0.297,176.165,results
1.531,176.663,results
8.714,185.232,results
3.176,188.111,results
4.589,228.477,results
0.5,241.093,results
2.424,242.832,results
4.47,246.341,results
4.411,249.733,results
8.65,259.555,results
0.207,258.778,results
1.581,259.611,results
0.325,258.885,results
1.647,259.531,results
0.38,258.92,results
1.713,259.593,results
3.615,262.336,results
0.662,263.386,results
0.189,262.811,results
0.173,261.967,results
0.395,261.358,results
1.788,262.091,results
2.324,263.461,results
4.057,267.368,results
6.391,275.633,results
4.643,280.033,results
0.431,279.496,results
1.269,279.776,results
