internal,end-to-end,source_directory
0.165,0.22,fixed_results1
0.15,0.213,fixed_results1
0.158,0.229,fixed_results1
0.159,0.252,fixed_results1
0.162,0.261,fixed_results1
0.158,0.249,fixed_results1
0.149,0.254,fixed_results1
0.149,0.251,fixed_results1
0.139,0.245,fixed_results1
0.161,87.424,fixed_results1
0.151,86.557,fixed_results1
0.163,85.69,fixed_results1
0.153,84.846,fixed_results1
0.163,84.009,fixed_results1
0.152,83.152,fixed_results1
0.149,104.422,fixed_results1
0.162,103.54,fixed_results1
0.155,102.674,fixed_results1
0.167,101.829,fixed_results1
0.191,101.002,fixed_results1
0.156,100.151,fixed_results1
0.159,99.307,fixed_results1
0.162,98.46,fixed_results1
0.152,97.59,fixed_results1
0.149,96.736,fixed_results1
0.185,95.912,fixed_results1
0.157,95.045,fixed_results1
0.154,94.189,fixed_results1
0.16,93.321,fixed_results1
0.149,92.467,fixed_results1
0.17,91.624,fixed_results1
0.182,90.79,fixed_results1
0.157,89.924,fixed_results1
0.158,89.073,fixed_results1
0.154,88.203,fixed_results1
0.152,87.331,fixed_results1
0.147,86.451,fixed_results1
0.153,85.585,fixed_results1
0.168,84.722,fixed_results1
0.155,83.864,fixed_results1
0.191,83.034,fixed_results1
0.156,82.177,fixed_results1
0.158,81.326,fixed_results1
0.154,80.464,fixed_results1
0.152,79.593,fixed_results1
0.148,78.725,fixed_results1
0.17,77.868,fixed_results1
0.153,77.005,fixed_results1
0.166,76.16,fixed_results1
0.165,75.306,fixed_results1
