internal,end-to-end
0.155,0.205
0.158,0.226
0.2,0.27
0.156,0.244
0.147,0.239
0.16,0.25
0.165,0.276
0.157,0.271
0.145,0.247
0.161,22.413
0.155,21.553
0.147,20.693
0.158,19.849
0.156,19.001
0.156,18.15
0.157,17.303
0.164,16.456
0.154,15.617
0.166,14.771
0.148,13.904
0.157,13.05
0.159,12.223
0.154,11.369
0.167,10.527
0.163,9.675
0.151,8.82
0.163,7.975
0.174,7.151
0.192,6.324
0.168,5.49
0.147,4.624
0.161,3.775
0.164,2.936
0.147,2.069
0.149,1.209
0.159,0.351
0.156,0.266
0.15,0.262
0.156,0.263
0.151,0.217
0.158,0.227
0.156,0.236
0.167,0.237
0.164,0.231
0.15,0.219
0.154,0.241
0.152,0.236
0.156,0.241
0.162,0.275
0.165,0.282
