internal,end-to-end
0.244,0.303
2.488,2.663
11.953,16.535
0.929,13.082
0.172,10.13
2.159,6.028
1.112,3.279
0.875,2.837
0.159,1.456
0.165,22.599
0.867,22.406
2.879,27.098
0.897,26.998
3.93,32.371
7.163,40.551
0.399,39.964
2.012,41.074
2.887,43.503
2.208,46.521
0.176,45.777
4.213,70.983
0.452,91.349
0.339,97.603
0.921,97.476
0.611,97.047
0.67,96.707
0.78,96.853
0.334,96.486
0.527,95.992
1.782,96.969
0.89,180.116
10.46,229.723
4.889,233.123
14.368,245.417
4.387,264.697
0.214,272.165
0.178,270.095
